deviceID,householdID
BBB60CC9ED69C910,ADFDB0983F64812F
052FF1D27A7B1AF8,0C3E1AB1B69C504C
B32FA9312E1013B7,01C21CA24FBCECE7
7B4F9072282F32E5,149E398984AB062D
867A9B7A41FF634A,9AD66CE6F4D09BE2
82CC901F552013A5,0F888D43B1C85AE5
803CD733A558887B,53304D2406179A35
B23E35D25E7C3D53,A8067FC62C91DD9A
C3E4EE0DEC72742B,820E01E2D6849B8B
E4F3D59DC84A1D39,9B89C861AB3B8C65
06E105CCD3FA0773,9AD66CE6F4D09BE2
25F92BC417E53B3F,A8067FC62C91DD9A
A92C3B84F9F4E0AF,01C21CA24FBCECE7
0C5D51066B4F0524,53304D2406179A35
2105341FD348512C,0F888D43B1C85AE5
BB8648CFB55F8E8B,ADFDB0983F64812F
BAEEE41F5A844E2C,458DE04015BE9144
A8D18100564E2433,820E01E2D6849B8B
BEF2EB486C042524,149E398984AB062D
75CEDB5597F08F9F,9B89C861AB3B8C65
CE13057034B0FD8F,AF5C798439688420
2BE9F757D32F0BDB,0C3E1AB1B69C504C
98B0EEC352F7F1CC,458DE04015BE9144
6CE3F70967A0160B,AF5C798439688420
E9C8CAF670C50331,D1D36783808B0E63
43BAB3761F3D230E,8ED176C819B64900
F7597289C8022922,1998F0622A2A50E0
2F5D939128002EBD,BDD858CCBCBD8DAA
048BC8370E5FAF12,6B1D547222C667C8
4E140D0DBCA539A0,C5A4C86B0BCB8FA9
5FA4EEC8FC497965,6B1D547222C667C8
4F664FFCAB724D1E,1998F0622A2A50E0
BD5D52A93A351D5C,F8D9110AED1C1B22
33B063FDACFFE613,88E22518726ECF55
0972C1B9231832B1,D1D36783808B0E63
D58F450ECBF98A77,C5A4C86B0BCB8FA9
EB82D95C1C20A9EE,BDD858CCBCBD8DAA
A3078924B87DCB2C,8ED176C819B64900
1401A1A52E5893E2,F8D9110AED1C1B22
CA99D4AF36A54FEC,88E22518726ECF55
733912BCE7E4AAF0,3312B9E8323689CF
DEE6461E9B7C0E9D,AF462323D902E40A
5FF5A95B597829EF,75D9255E140A0408
54ED2E73B04E37DD,045EE2F586BE6BAE
99FA2DC0E54AB164,3312B9E8323689CF
3B2F48F15B82CC87,AF462323D902E40A
F27389D10C48C26C,75D9255E140A0408
8012F929317E2C0B,045EE2F586BE6BAE
